ID,Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Children,Living_With,cluster,PCA1,PCA2,PCA3
5524,Graduate,58138.0,58,3,8,10,4,7,0,1,69,663,1617,0,Alone,3,2.709,2.402,0.1953
2174,Graduate,46344.0,38,2,1,1,2,5,0,0,72,113,27,2,Alone,2,-1.7612,1.8456,-0.8204
4141,Graduate,71613.0,26,1,8,2,10,4,0,0,61,312,776,0,Partner,1,1.8219,-1.071,-1.2443
6182,Graduate,26646.0,26,2,2,0,4,6,0,0,42,139,53,1,Partner,0,-2.0564,-0.8295,-1.6966
5324,Postgraduate,58293.0,94,5,5,3,6,5,0,0,45,161,422,1,Partner,0,-0.0527,-1.3295,1.2328
7446,Postgraduate,62513.0,16,2,6,4,10,6,0,0,59,293,716,1,Partner,1,1.0534,-1.3076,1.4333
965,Graduate,55635.0,34,4,7,3,7,6,0,0,55,593,590,1,Alone,2,0.4081,1.8686,-0.007
6177,Postgraduate,33454.0,32,2,4,0,4,8,0,0,41,417,169,1,Partner,0,-1.7852,-0.9788,1.0821
4855,Postgraduate,30351.0,19,1,3,0,2,9,0,1,52,388,46,1,Partner,0,-1.925,-0.3645,1.4801
5899,Postgraduate,5648.0,68,1,1,0,0,20,0,0,76,108,49,2,Partner,0,-4.9231,-0.9249,2.2932
1994,Graduate,51381.5,11,1,1,0,2,7,0,0,43,226,19,1,Partner,0,-1.9817,-0.732,-1.7157
387,Undergraduate,7500.0,59,1,2,0,3,8,0,0,50,593,61,0,Partner,0,-2.5384,-0.7434,-0.5985
2125,Graduate,63033.0,82,1,3,4,8,2,0,0,67,226,1102,0,Alone,3,1.8519,1.7664,-1.7154
8180,Postgraduate,59354.0,53,3,6,1,5,6,0,0,74,226,310,2,Alone,2,-0.5122,1.4621,2.1577
2569,Graduate,17323.0,38,1,1,0,3,8,0,0,39,627,46,0,Partner,0,-2.2602,-0.5448,-1.7404
2114,Postgraduate,82800.0,23,1,7,6,12,3,0,1,80,582,1315,0,Alone,3,4.016,2.0515,2.0527
9736,Graduate,41850.0,51,3,3,0,3,8,0,0,46,552,96,2,Partner,0,-2.3106,-0.9048,-0.6211
4939,Graduate,37760.0,20,2,4,1,6,7,0,0,80,667,317,0,Partner,0,-0.421,-0.8736,-0.5366
6565,Postgraduate,76995.0,91,2,11,4,9,5,0,0,77,458,1782,1,Partner,1,2.8357,-1.5154,2.084
2278,Undergraduate,33812.0,86,2,2,1,3,6,0,0,41,603,133,1,Alone,2,-1.9314,1.9403,-0.3293
9360,Graduate,37040.0,41,1,4,2,5,8,0,0,44,690,316,0,Partner,0,-0.8129,-0.7267,-1.4201
